program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
MINE,565,REQ-0036,required_course,CE 374,3,6,Sixth Semester,1,1,CE 374,5620374,FLUID MECHANICS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0037,required_course,MINE 302,3,6,Sixth Semester,1,1,MINE 302,5650302,MINE POWER AND MACHINERY,2,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0038,required_course,MINE 310,3,6,Sixth Semester,1,1,MINE 310,5650310,MINERAL PROCESSING II,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0039,required_course,MINE 312,3,6,Sixth Semester,1,1,MINE 312,5650312,MINE SURVEYING,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0040,required_course,MINE 324,3,6,Sixth Semester,1,1,MINE 324,5650324,ROCK FRAGMENTATION,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0041,required_course,MINE 332,3,6,Sixth Semester,1,1,MINE 332,5650332,MINE SYSTEM ANALYSIS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0042,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,1,TURK 106,6420106,TURKISH II,0,4,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0042,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,2,TURK 202,6420202,INTERMEDIATE TURKISH I,0,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0042,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,3,TURK 304,6420304,TURKISH II,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0043,summer_practice,MINE 400,4,7,Seventh Semester,1,1,MINE 400,5650400,SUMMER PRACTICE II,0,0,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0044,required_course,MINE 407,4,7,Seventh Semester,1,1,MINE 407,5650407,MINE VALUATION,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0045,required_course,MINE 417,4,7,Seventh Semester,1,1,MINE 417,5650417,MINE VENTILATION,3,2,2,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0046,required_course,MINE 419,4,7,Seventh Semester,1,1,MINE 419,5650419,MATERIALS HANDLING &MINE TRANSPORT,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0047,required_course,MINE 427,4,7,Seventh Semester,1,1,MINE 427,5650427,MINERAL PROCESSING DESIGN,3,2,2,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0048,technical_elective_pool,TECHNICAL ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0049,technical_elective_pool,TECHNICAL ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0050,required_course,MINE 416,4,8,Eighth Semester,1,1,MINE 416,5650416,MINE DESIGN,3,1,4,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0051,required_course,MINE 422,4,8,Eighth Semester,1,1,MINE 422,5650422,MINE HEALTH . SAFETY AND ETHICS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0052,restricted_elective_pool,RESTRICTED ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
MINE,565,REQ-0053,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=565,scraped
