program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
CENG,571,REQ-0036,required_course,CENG 336,3,6,Sixth Semester,1,1,CENG 336,5710336,INTRO.TO EMBEDDED SYSTEMS DEVELOPMENT,3,2,2,5.5,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0037,required_course,CENG 350,3,6,Sixth Semester,1,1,CENG 350,5710350,SOFTWARE ENGINEERING,3,3,0,5.5,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0038,required_course,CENG 384,3,6,Sixth Semester,1,1,CENG 384,5710384,SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS,3,3,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0039,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,1,TURK 106,6420106,TURKISH II,0,4,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0039,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,2,TURK 202,6420202,INTERMEDIATE TURKISH I,0,2,0,3.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0039,course_choice,Any 1 of the following set ..,3,6,Sixth Semester,1,3,TURK 304,6420304,TURKISH II,0,2,0,2.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0040,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,3,6,Sixth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0041,summer_practice,CENG 400,4,7,Seventh Semester,1,1,CENG 400,5710400,SUMMER PRACTICE II,0,0,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0042,required_course,CENG 477,4,7,Seventh Semester,1,1,CENG 477,5710477,INTRODUCTION TO COMPUTER GRAPHICS,3,3,0,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0043,required_course,CENG 491,4,7,Seventh Semester,1,1,CENG 491,5710491,COMPUTER ENGINEERING DESIGN I,4,2,4,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0044,technical_elective_pool,TECHNICAL ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0045,technical_elective_pool,TECHNICAL ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0046,required_course,CENG 492,4,8,Eighth Semester,1,1,CENG 492,5710492,COMPUTER ENGINEERING DESIGN II,4,2,4,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0047,free_elective_pool,FREE ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0048,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0049,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
CENG,571,REQ-0050,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=571,scraped
