program_abbr,catalog_program_id,requirement_id,requirement_type,label,year,semester_index,semester_label,option_min_count,option_index,course_code,numeric_code,course_title,metu_credit,contact_hours,lab_hours,ects,source_url,review_status
EEE,567,REQ-0043,nontechnical_elective_pool,NONTECHNICAL ELECTIVE,3,6,Sixth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0044,summer_practice,EE 400,4,7,Seventh Semester,1,1,EE 400,5670400,SUMMER PRACTICE II,0,0,0,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0045,required_course,EE 493,4,7,Seventh Semester,1,1,EE 493,5670493,ENGINEERING DESIGN I,3,2,2,6.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0046,free_elective_pool,FREE ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0047,technical_elective_pool,TECHNICAL ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0048,technical_elective_pool,TECHNICAL ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0049,technical_elective_pool,TECHNICAL ELECTIVE,4,7,Seventh Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0050,required_course,EE 494,4,8,Eighth Semester,1,1,EE 494,5670494,ENGINEERING DESIGN II,3,2,2,7.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0051,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0052,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0053,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
EEE,567,REQ-0054,technical_elective_pool,TECHNICAL ELECTIVE,4,8,Eighth Semester,1,,,,,,,,5.0,https://catalog.metu.edu.tr/program.php?fac_prog=567,scraped
