from,from_course_code,to,to_course_code,set_no,min_grade,type,position
8770301,OHS 301,5730400,FDE 400,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
5730321,FDE 321,5730413,FDE 413,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730321,FDE 321,5730416,FDE 416,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730324,FDE 324,5730416,FDE 416,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630423,CHE 423,5730425,FDE 425,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730320,FDE 320,5730425,FDE 425,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730321,FDE 321,5730425,FDE 425,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730324,FDE 324,5730425,FDE 425,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630423,CHE 423,5730426,FDE 426,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730320,FDE 320,5730426,FDE 426,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730321,FDE 321,5730426,FDE 426,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5730324,FDE 324,5730426,FDE 426,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2402201,HIST 2201,2402202,HIST 2202,1,U,Undergraduate / Lisans,Offered Course / A??k Ders
3620201,362 201,2402202,HIST 2202,2,U,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,2,U,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,2360118,MATH 118,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360118,MATH 118,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360120,MATH 120,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
