from,from_course_code,to,to_course_code,set_no,min_grade,type,position
2360219,MATH 219,5660343,PETE 343,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660218,PETE 218,5660343,PETE 343,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660220,PETE 220,5660343,PETE 343,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570219,357 219,5660343,PETE 343,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740218,374 218,5660343,PETE 343,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740220,374 220,5660343,PETE 343,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570219,357 219,5660343,PETE 343,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740216,374 216,5660343,PETE 343,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5660343,PETE 343,5660344,PETE 344,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660220,PETE 220,5660352,PETE 352,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660322,PETE 322,5660417,PETE 417,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660331,PETE 331,5660417,PETE 417,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660343,PETE 343,5660417,PETE 417,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660322,PETE 322,5660417,PETE 417,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660331,PETE 331,5660417,PETE 417,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660352,PETE 352,5660417,PETE 417,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660322,PETE 322,5660417,PETE 417,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660343,PETE 343,5660417,PETE 417,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660352,PETE 352,5660417,PETE 417,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660331,PETE 331,5660417,PETE 417,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660343,PETE 343,5660417,PETE 417,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660352,PETE 352,5660417,PETE 417,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5660417,PETE 417,5660418,PETE 418,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6420105,TURK 105,6420106,TURK 106,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420201,TURK 201,6420106,TURK 106,2,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420201,TURK 201,6420202,TURK 202,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420105,TURK 105,6420202,TURK 202,2,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420303,TURK 303,6420304,TURK 304,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
