program_abbr,semester_no,semester_text,department_value,department_text,numeric_code,display_code,course_number,course_name,ects_credit,credit,level,type,source_url,retrieved_at_utc,content_path
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710444,CENG 444,444,LANGUAGE PROCESSORS (DİL İŞLEMCİLERİ ),6.0,"3.00 (3.00,0.00,)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710453,CENG 453,453,SPECIAL TOPICS IN COMPUTER ENGINEERING: SOFTWARE CONSTRUCTION (BİLG. MÜH. ÖZEL KONULAR: YAZILIM İNŞASI ),6.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710469,CENG 469,469,COMPUTER GRAPHICS II (BİLGİSAYARLI GRAFİK II ),6.0,"3.00 (3.00,0.00,)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710488,CENG 488,488,GUIDED RESEARCH (YÖNLENDİRMELİ ARAŞTIRMA ),6.0,"3.00 (1.00,4.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710492,CENG 492,492,COMPUTER ENGINEERING DESIGN II (BİLGİSAYAR MÜHENDİSLİĞİ TASARIMI II ),8.0,"4.00 (2.00,4.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710495,CENG 495,495,CLOUD COMPUTING (BULUT HESAPLAMA ),5.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710499,CENG 499,499,SPECIAL TOPICS: INTRODUCTION TO MACHINE LEARNING (BİLG. MÜH. ÖZEL KONULAR: MAKİNE ÖĞRENMESİNE GİRİŞ ),6.0,"3.00 (3.00,0.00,0.00)",Undergraduate/Lisans,Undergraduate / Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710500,CENG 500,500,M.S. THESIS (YÜKSEK LİSANS TEZİ ),50.0,"0.00 (0.00,0.00,)",Master`s/Yüksek Lisans,M.S. Thesis / Yüksek Lisans Tez,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710513,CENG 513,513,WIRELESS COMMUNICATION AND NETWORKS (KABLOSUZ İLETİŞİM VE AĞLAR ),8.0,"3.00 (3.00,0.00,0.00)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710519,CENG 519,519,NETWORK SECURITY (AĞ GÜVENLİĞİ ),8.0,"3.00 (3.00,0.00,0.00)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
